,side,beta,std,pval,contrast,strain,experiment,significant,corrected pval
123,Deleterious,0.0594200868,0.0150170825,8.57642221732172E-06,40kS.R,R,I,1,5.05735539931288E-05
124,Beneficial,0.0293245205,0.0284524171,0.2445791838,40kL.R,R,I,0,0.3247690802
125,Deleterious,0.0201573091,0.0153467264,0.0817455707,40kL.R,R,I,0,0.1423955103
126,Beneficial,0.1067195838,0.0231055812,6.77384518759362E-05,6kS.R,R,O,1,0.0002612769
127,Deleterious,0.0540289643,0.010245622,7.0705285289904E-10,6kS.R,R,O,1,5.53511997501773E-08
128,Beneficial,0.1094867814,0.0221379375,2.23382050337591E-05,6kL.R,R,O,1,0.000103394
129,Deleterious,0.0508801555,0.011078683,3.11641930237303E-09,6kL.R,R,O,1,7.21228467120616E-08
130,Beneficial,0.1075084058,0.0255818038,0.0001533736,17kS.R,R,O,1,0.0005521449
131,Deleterious,0.0550488067,0.0107689544,2.73726407436167E-09,17kS.R,R,O,1,7.21228467120616E-08
132,Beneficial,0.0950699866,0.0221926204,0.0001603665,17kL.R,R,O,1,0.0005647691
133,Deleterious,0.0467621551,0.0102543213,1.8918511746062E-08,17kL.R,R,O,1,3.06479890286204E-07
134,Beneficial,0.1052024631,0.026109517,0.0001933233,40kS.R,R,O,1,0.0006660242
135,Deleterious,0.0553861013,0.0106648436,1.46908295074454E-09,40kS.R,R,O,1,5.94978595051538E-08
136,Beneficial,0.056927246,0.0167067463,0.0110170011,40kL.R,R,O,1,0.0228814637
137,Deleterious,0.0385029549,0.0083171964,0.000000163,40kL.R,R,O,1,2.03105630795487E-06
138,Beneficial,0.1729508951,0.0351639192,0.000014223,6kS.R,R,T,1,7.20038882714568E-05
139,Deleterious,0.0681301357,0.0269042543,0.0015495489,6kS.R,R,T,1,0.0042546936
140,Beneficial,0.1713920751,0.0359459006,7.89646391996675E-06,6kL.R,R,T,1,0.000049201
141,Deleterious,0.0656953307,0.0281435773,0.0014967522,6kL.R,R,T,1,0.0041805838
